Tue Aug 26 09:56:02 HKT 2014: Mail sent
Tue Aug 26 20:55:02 HKT 2014: Mail sent
Thu Aug 28 11:13:10 HKT 2014: Mail sent
Thu Aug 28 11:14:03 HKT 2014: Mail sent
Thu Aug 28 11:14:47 HKT 2014: Mail sent
Thu Aug 28 11:17:00 HKT 2014: Mail sent
Thu Aug 28 20:55:01 HKT 2014: Mail sent
Fri Aug 29 20:55:01 HKT 2014: Mail sent
Sat Aug 30 20:55:01 HKT 2014: Mail sent
Sun Aug 31 20:55:01 HKT 2014: Mail sent
Mon Sep  1 20:55:01 HKT 2014: Mail sent
Tue Sep  2 20:55:01 HKT 2014: Mail sent
Wed Sep  3 20:55:01 HKT 2014: Mail sent
Thu Sep  4 20:55:01 HKT 2014: Mail sent
Fri Sep  5 20:55:02 HKT 2014: Mail sent
Sat Sep  6 20:55:01 HKT 2014: Mail sent
Sun Sep  7 20:55:01 HKT 2014: Mail sent
Mon Sep  8 20:55:01 HKT 2014: Mail sent
Tue Sep  9 20:55:01 HKT 2014: Mail sent
Wed Sep 10 20:55:01 HKT 2014: Mail sent
Thu Sep 11 20:55:02 HKT 2014: Mail sent
Fri Sep 12 20:55:01 HKT 2014: Mail sent
Sat Sep 13 20:55:01 HKT 2014: Mail sent
Sun Sep 14 20:55:01 HKT 2014: Mail sent
Mon Sep 15 11:22:10 HKT 2014: Mail sent
Mon Sep 15 20:55:01 HKT 2014: Mail sent
Tue Sep 16 20:55:02 HKT 2014: Mail sent
Wed Sep 17 20:55:01 HKT 2014: Mail sent
Thu Sep 18 20:55:02 HKT 2014: Mail sent
Fri Sep 19 20:55:01 HKT 2014: Mail sent
Sat Sep 20 20:55:01 HKT 2014: Mail sent
Sun Sep 21 20:55:02 HKT 2014: Mail sent
Mon Sep 22 20:55:02 HKT 2014: Mail sent
Tue Sep 23 20:55:02 HKT 2014: Mail sent
Wed Sep 24 20:55:01 HKT 2014: Mail sent
Thu Sep 25 20:55:01 HKT 2014: Mail sent
Fri Sep 26 20:55:02 HKT 2014: Mail sent
Sat Sep 27 20:55:02 HKT 2014: Mail sent
Sun Sep 28 20:55:01 HKT 2014: Mail sent
Mon Sep 29 20:55:02 HKT 2014: Mail sent
Tue Sep 30 20:55:01 HKT 2014: Mail sent
Wed Oct  1 20:55:01 HKT 2014: Mail sent
Thu Oct  2 20:55:01 HKT 2014: Mail sent
Fri Oct  3 20:55:01 HKT 2014: Mail sent
Sat Oct  4 20:55:01 HKT 2014: Mail sent
Sun Oct  5 20:55:01 HKT 2014: Mail sent
Mon Oct  6 20:55:01 HKT 2014: job-checking.txt is empty
Tue Oct  7 20:55:01 HKT 2014: job-checking.txt is empty
Wed Oct  8 20:55:01 HKT 2014: job-checking.txt is empty
Thu Oct  9 20:55:01 HKT 2014: job-checking.txt is empty
Fri Oct 10 20:55:01 HKT 2014: job-checking.txt is empty
Sat Oct 11 20:55:01 HKT 2014: job-checking.txt is empty
Sun Oct 12 20:55:01 HKT 2014: job-checking.txt is empty
Mon Oct 13 20:55:01 HKT 2014: job-checking.txt is empty
Tue Oct 14 20:55:01 HKT 2014: job-checking.txt is empty
Wed Oct 15 20:55:01 HKT 2014: job-checking.txt is empty
Thu Oct 16 20:55:01 HKT 2014: job-checking.txt is empty
Fri Oct 17 20:55:01 HKT 2014: job-checking.txt is empty
Sat Oct 18 20:55:01 HKT 2014: job-checking.txt is empty
Sun Oct 19 20:55:01 HKT 2014: job-checking.txt is empty
Mon Oct 20 20:55:01 HKT 2014: job-checking.txt is empty
Tue Oct 21 20:55:01 HKT 2014: job-checking.txt is empty
Wed Oct 22 20:55:01 HKT 2014: job-checking.txt is empty
Thu Oct 23 20:55:01 HKT 2014: job-checking.txt is empty
Fri Oct 24 20:55:01 HKT 2014: job-checking.txt is empty
Sat Oct 25 20:55:01 HKT 2014: job-checking.txt is empty
Sun Oct 26 20:55:02 HKT 2014: job-checking.txt is empty
Mon Oct 27 20:55:01 HKT 2014: job-checking.txt is empty
Tue Oct 28 20:55:01 HKT 2014: job-checking.txt is empty
Wed Oct 29 20:55:01 HKT 2014: job-checking.txt is empty
Thu Oct 30 20:55:01 HKT 2014: job-checking.txt is empty
Fri Oct 31 20:55:01 HKT 2014: job-checking.txt is empty
Sat Nov  1 20:55:01 HKT 2014: job-checking.txt is empty
Sun Nov  2 20:55:01 HKT 2014: job-checking.txt is empty
Mon Nov  3 20:55:01 HKT 2014: job-checking.txt is empty
Tue Nov  4 20:55:01 HKT 2014: job-checking.txt is empty
Wed Nov  5 20:55:01 HKT 2014: job-checking.txt is empty
Thu Nov  6 20:55:01 HKT 2014: job-checking.txt is empty
Fri Nov  7 20:55:01 HKT 2014: job-checking.txt is empty
Sat Nov  8 20:55:01 HKT 2014: job-checking.txt is empty
Sun Nov  9 20:55:01 HKT 2014: job-checking.txt is empty
Mon Nov 10 20:55:01 HKT 2014: job-checking.txt is empty
Tue Nov 11 20:55:01 HKT 2014: job-checking.txt is empty
Wed Nov 12 20:55:02 HKT 2014: job-checking.txt is empty
Thu Nov 13 20:55:01 HKT 2014: job-checking.txt is empty
